Product Name,Type,Amount
0.1 µF,Capacitor,11
1 µF,Capacitor,2
10 µF,Capacitor,6
33 pF,Capacitor,2
Red LED,LED,1
USB-C Receptacle USB2.0 14P,Connector,1
Conn_01x20,Connector,2
Conn_01x03,Connector,1
Conn_01x01,Connector,1
2.2 µH shieled inductor,Inductor,1
PMOS SOT-23,Transistor,2
5.1 kΩ,Resistor,2
27 Ω,Resistor,2
1 kΩ,Resistor,2
10 kΩ,Resistor,1
0.1 kΩ (100 Ω),Resistor,1
330 Ω,Resistor,1
100 kΩ,Resistor,1
Push Button,Switch,1
RP2040,Microcontroller,1
AP2112K-3.3,Voltage Regulator,1
W25Q128JVS,Flash Memory,1
12 mhz crystal oscillator,crystal oscillator,1
TPS63001,Buck Boost converter,1